idReserva,idCliente,idMesa,idEstadoReserva,fechaHora,fecha
1,36,1,1,2024-04-20 22:38:34,2023-01-04
2,8,1,1,2024-04-20 22:38:34,2023-01-05
3,60,1,1,2024-04-20 22:38:34,2023-01-06
4,70,1,1,2024-04-20 22:38:34,2023-01-07
5,69,1,1,2024-04-20 22:38:34,2023-01-09
6,12,1,1,2024-04-20 22:38:34,2023-01-12
7,57,1,1,2024-04-20 22:38:34,2023-01-13
8,98,1,1,2024-04-20 22:38:34,2023-01-14
9,81,1,1,2024-04-20 22:38:34,2023-01-17
10,25,1,1,2024-04-20 22:38:34,2023-01-19
11,78,1,1,2024-04-20 22:38:34,2023-01-20
12,14,1,1,2024-04-20 22:38:34,2023-01-21
13,94,1,1,2024-04-20 22:38:34,2023-01-26
14,67,1,1,2024-04-20 22:38:34,2023-01-27
15,94,1,1,2024-04-20 22:38:34,2023-01-28
16,74,1,1,2024-04-20 22:38:34,2023-01-29
17,19,1,1,2024-04-20 22:38:34,2023-02-01
18,36,1,1,2024-04-20 22:38:34,2023-02-02
19,94,1,1,2024-04-20 22:38:34,2023-02-03
20,93,1,1,2024-04-20 22:38:34,2023-02-04
21,56,1,1,2024-04-20 22:38:34,2023-02-06
22,31,1,1,2024-04-20 22:38:34,2023-02-08
23,27,1,1,2024-04-20 22:38:34,2023-02-09
24,59,1,1,2024-04-20 22:38:35,2023-02-10
25,34,1,1,2024-04-20 22:38:35,2023-02-11
26,27,1,1,2024-04-20 22:38:35,2023-02-16
27,40,1,1,2024-04-20 22:38:35,2023-02-17
28,20,1,3,2024-04-20 22:38:35,2023-02-18
29,10,1,1,2024-04-20 22:38:35,2023-02-22
30,71,1,1,2024-04-20 22:38:35,2023-02-23
31,100,1,1,2024-04-20 22:38:35,2023-02-24
32,86,1,1,2024-04-20 22:38:35,2023-02-25
33,48,1,1,2024-04-20 22:38:35,2023-02-28
34,36,1,1,2024-04-20 22:38:35,2023-03-01
35,3,1,1,2024-04-20 22:38:35,2023-03-03
36,55,1,1,2024-04-20 22:38:35,2023-03-04
37,55,1,1,2024-04-20 22:38:35,2023-03-09
38,75,1,1,2024-04-20 22:38:35,2023-03-10
39,97,1,1,2024-04-20 22:38:35,2023-03-11
40,4,1,1,2024-04-20 22:38:35,2023-03-14
41,71,1,1,2024-04-20 22:38:35,2023-03-15
42,61,1,1,2024-04-20 22:38:35,2023-03-16
43,71,1,3,2024-04-20 22:38:35,2023-03-17
44,78,1,3,2024-04-20 22:38:35,2023-03-18
45,66,1,1,2024-04-20 22:38:35,2023-03-21
46,81,1,1,2024-04-20 22:38:35,2023-03-23
47,2,1,1,2024-04-20 22:38:35,2023-03-24
48,49,1,1,2024-04-20 22:38:35,2023-03-25
49,48,1,1,2024-04-20 22:38:35,2023-03-29
50,62,1,1,2024-04-20 22:38:35,2023-03-30
51,6,1,3,2024-04-20 22:38:35,2023-03-31
52,76,1,1,2024-04-20 22:38:35,2023-04-01
53,31,1,1,2024-04-20 22:38:35,2023-04-02
54,4,1,1,2024-04-20 22:38:35,2023-04-07
55,58,1,1,2024-04-20 22:38:35,2023-04-08
56,33,1,1,2024-04-20 22:38:35,2023-04-13
57,53,1,1,2024-04-20 22:38:35,2023-04-14
58,13,1,1,2024-04-20 22:38:35,2023-04-15
59,32,1,1,2024-04-20 22:38:35,2023-04-17
60,75,1,1,2024-04-20 22:38:35,2023-04-18
61,96,1,1,2024-04-20 22:38:35,2023-04-21
62,67,1,1,2024-04-20 22:38:35,2023-04-22
63,92,1,1,2024-04-20 22:38:35,2023-04-24
64,97,1,1,2024-04-20 22:38:35,2023-04-25
65,94,1,1,2024-04-20 22:38:35,2023-04-28
66,33,1,1,2024-04-20 22:38:35,2023-04-29
67,21,1,1,2024-04-20 22:38:35,2023-05-01
68,70,1,1,2024-04-20 22:38:35,2023-05-02
69,52,1,1,2024-04-20 22:38:35,2023-05-05
70,68,1,1,2024-04-20 22:38:35,2023-05-06
71,15,1,1,2024-04-20 22:38:35,2023-05-10
72,31,1,1,2024-04-20 22:38:35,2023-05-12
73,91,1,1,2024-04-20 22:38:35,2023-05-13
74,83,1,1,2024-04-20 22:38:35,2023-05-16
75,91,1,1,2024-04-20 22:38:35,2023-05-18
76,71,1,1,2024-04-20 22:38:35,2023-05-19
77,45,1,1,2024-04-20 22:38:35,2023-05-20
78,29,1,1,2024-04-20 22:38:36,2023-05-23
79,84,1,1,2024-04-20 22:38:36,2023-05-25
80,19,1,1,2024-04-20 22:38:36,2023-05-26
81,61,1,3,2024-04-20 22:38:36,2023-05-27
82,22,1,1,2024-04-20 22:38:36,2023-06-02
83,88,1,1,2024-04-20 22:38:36,2023-06-03
84,65,1,1,2024-04-20 22:38:36,2023-06-06
85,73,1,3,2024-04-20 22:38:36,2023-06-07
86,77,1,1,2024-04-20 22:38:36,2023-06-09
